Package name,package,version,source_file,hit_rules_count,hit_rules,rule_IG-001,rule_IG-002,rule_IG-003,rule_IG-004,rule_IG-005,rule_IG-006,rule_IG-007,rule_IG-008,rule_IG-009,rule_IG-010,rule_IG-011,rule_DT-001,rule_DT-002,rule_DT-003,rule_DT-004,rule_DT-006,rule_DT-007,rule_DT-008,rule_DT-009,rule_DT-010,rule_DT-011,rule_DT-012,rule_DT-013,rule_IG-013,rule_IG-014,rule_DT-014,rule_DT-016,rule_DT-017,rule_DT-018,rule_DT-020,rule_DT-030,rule_DT-032,rule_IG-012,rule_DE-001,rule_DE-002,rule_DE-003,rule_DE-004,rule_DE-005,rule_DE-006,rule_DE-007,rule_PE-001,rule_PE-002,rule_PE-003,rule_PE-004,rule_PE-005,rule_PE-006,rule_PE-007,rule_PE-008,rule_PE-009,rule_PE-010,rule_PE-011,rule_PE-012,rule_PE-013,rule_PE-014,rule_PE-015,rule_PE-016,rule_SP-001,rule_SP-002,rule_SP-003,rule_SP-004,malicious_node_count,malicious_ratio,category_diversity,IG_ratio,DT_ratio,DE_ratio,PE_ratio,SP_ratio,malicious_internal_edges,malicious_density,malicious_components,mean_degree_centrality_full,max_degree_centrality_full,mean_malicious_pagerank,max_malicious_pagerank,sum_malicious_pagerank,mean_malicious_betweenness,max_malicious_betweenness,mean_degree_centrality_sub,max_degree_centrality_sub,mean_pagerank_sub,max_pagerank_sub,mean_betweenness_sub,max_betweenness_sub,num_malicious_communities,max_community_maliciousness_ratio,malicious_community_entropy
nileninjapkg2-1.0.0,nileninjapkg2,1.0.0,10月5日,5,"DT-004,PE-001,PE-002,PE-004,PE-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0.6666666666666666,2,0,0.3,0,0.7,0,6,0.06666666666666667,4,0.11428571428571428,0.21428571428571427,0.06591232810595701,0.09066650075712668,0.6591232810595702,0.0032967032967032967,0.01098901098901099,0.13333333333333336,0.2222222222222222,0.09999999999999999,0.113560421885625,0,0,4,1,1.895461844238322
nileninjapkg3-1.0.0,nileninjapkg3,1.0.0,10月5日,5,"DT-004,PE-001,PE-002,PE-004,PE-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0.6666666666666666,2,0,0.3,0,0.7,0,6,0.06666666666666667,4,0.11428571428571428,0.21428571428571427,0.06591232810595701,0.09066650075712668,0.6591232810595702,0.0032967032967032967,0.01098901098901099,0.13333333333333336,0.2222222222222222,0.09999999999999999,0.113560421885625,0,0,4,1,1.895461844238322
nileninjapkg4-1.0.0,nileninjapkg4,1.0.0,10月5日,5,"DT-004,PE-001,PE-002,PE-004,PE-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0.6666666666666666,2,0,0.3,0,0.7,0,6,0.06666666666666667,4,0.11428571428571428,0.21428571428571427,0.06591232810595701,0.09066650075712668,0.6591232810595702,0.0032967032967032967,0.01098901098901099,0.13333333333333336,0.2222222222222222,0.09999999999999999,0.113560421885625,0,0,4,1,1.895461844238322
nileninjapkg5-1.0.0,nileninjapkg5,1.0.0,10月5日,5,"DT-004,PE-001,PE-002,PE-004,PE-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0.6666666666666666,2,0,0.3,0,0.7,0,6,0.06666666666666667,4,0.11428571428571428,0.21428571428571427,0.06591232810595701,0.09066650075712668,0.6591232810595702,0.0032967032967032967,0.01098901098901099,0.13333333333333336,0.2222222222222222,0.09999999999999999,0.113560421885625,0,0,4,1,1.895461844238322
nileninjapkg6-1.0.0,nileninjapkg6,1.0.0,10月5日,5,"DT-004,PE-001,PE-002,PE-004,PE-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0.6666666666666666,2,0,0.3,0,0.7,0,6,0.06666666666666667,4,0.11428571428571428,0.21428571428571427,0.06591232810595701,0.09066650075712668,0.6591232810595702,0.0032967032967032967,0.01098901098901099,0.13333333333333336,0.2222222222222222,0.09999999999999999,0.113560421885625,0,0,4,1,1.895461844238322
nileninjapocpkg-1.0.0,nileninjapocpkg,1.0.0,10月5日,5,"DT-004,PE-001,PE-002,PE-004,PE-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0.6666666666666666,2,0,0.3,0,0.7,0,6,0.06666666666666667,4,0.11428571428571428,0.21428571428571427,0.06591232810595701,0.09066650075712668,0.6591232810595702,0.0032967032967032967,0.01098901098901099,0.13333333333333336,0.2222222222222222,0.09999999999999999,0.113560421885625,0,0,4,1,1.895461844238322
nileninjapocpkg1-1.0.0,nileninjapocpkg1,1.0.0,10月5日,5,"DT-004,PE-001,PE-002,PE-004,PE-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0.6666666666666666,2,0,0.3,0,0.7,0,6,0.06666666666666667,4,0.11428571428571428,0.21428571428571427,0.06591232810595701,0.09066650075712668,0.6591232810595702,0.0032967032967032967,0.01098901098901099,0.13333333333333336,0.2222222222222222,0.09999999999999999,0.113560421885625,0,0,4,1,1.895461844238322
nileninjapocpkg2-1.0.0,nileninjapocpkg2,1.0.0,10月5日,5,"DT-004,PE-001,PE-002,PE-004,PE-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0.6666666666666666,2,0,0.3,0,0.7,0,6,0.06666666666666667,4,0.11428571428571428,0.21428571428571427,0.06591232810595701,0.09066650075712668,0.6591232810595702,0.0032967032967032967,0.01098901098901099,0.13333333333333336,0.2222222222222222,0.09999999999999999,0.113560421885625,0,0,4,1,1.895461844238322
nileninjapocpkg3-1.0.0,nileninjapocpkg3,1.0.0,10月5日,5,"DT-004,PE-001,PE-002,PE-004,PE-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0.6666666666666666,2,0,0.3,0,0.7,0,6,0.06666666666666667,4,0.11428571428571428,0.21428571428571427,0.06591232810595701,0.09066650075712668,0.6591232810595702,0.0032967032967032967,0.01098901098901099,0.13333333333333336,0.2222222222222222,0.09999999999999999,0.113560421885625,0,0,4,1,1.895461844238322
nilepkg10-1.0.0,nilepkg10,1.0.0,10月6日,7,"DE-005,DT-004,DT-008,PE-001,PE-002,PE-004,PE-008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5833333333333334,2,0,0.2857142857142857,0,0.7142857142857143,0,4,0.09523809523809523,3,0.14285714285714285,0.2727272727272727,0.08349745129297562,0.11276145590607443,0.5844821590508293,0.005194805194805195,0.01818181818181818,0.19047619047619047,0.3333333333333333,0.14285714285714282,0.16378880810200558,0,0,3,1,1.4488156357251847
