package_name,data_type,label,hit_rules_count,hit_rules,rule_IG-001,rule_IG-002,rule_IG-003,rule_IG-004,rule_IG-005,rule_IG-006,rule_IG-007,rule_IG-008,rule_IG-009,rule_IG-010,rule_IG-011,rule_DT-001,rule_DT-002,rule_DT-003,rule_DT-004,rule_DT-006,rule_DT-007,rule_DT-008,rule_DT-009,rule_DT-010,rule_DT-011,rule_DT-012,rule_DT-013,rule_IG-013,rule_IG-014,rule_DT-014,rule_DT-016,rule_DT-017,rule_DT-018,rule_DT-020,rule_DT-030,rule_DT-032,rule_IG-012,rule_DE-001,rule_DE-002,rule_DE-003,rule_DE-004,rule_DE-005,rule_DE-006,rule_DE-007,rule_PE-001,rule_PE-002,rule_PE-003,rule_PE-004,rule_PE-005,rule_PE-006,rule_PE-007,rule_PE-008,rule_PE-009,rule_PE-010,rule_PE-011,rule_PE-012,rule_PE-013,rule_PE-014,rule_PE-015,rule_PE-016,rule_SP-001,rule_SP-002,rule_SP-003,rule_SP-004,malicious_node_count,malicious_ratio,category_diversity,IG_ratio,DT_ratio,DE_ratio,PE_ratio,SP_ratio,malicious_internal_edges,malicious_density,malicious_components,mean_degree_centrality_full,max_degree_centrality_full,mean_malicious_pagerank,max_malicious_pagerank,sum_malicious_pagerank,mean_malicious_betweenness,max_malicious_betweenness,mean_degree_centrality_sub,max_degree_centrality_sub,mean_pagerank_sub,max_pagerank_sub,mean_betweenness_sub,max_betweenness_sub,num_malicious_communities,max_community_maliciousness_ratio,malicious_community_entropy
@0610studio-zs-ui-0.10.0,unknown,-1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
@0xshariq-github-mcp-server-2.4.0,unknown,-1,11,"DE-001,DE-002,DT-002,DT-004,DT-014,IG-010,PE-002,PE-007,PE-008,SP-002,SP-004",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,257,0.018320501853435985,5,0.007782101167315175,0.027237354085603113,0.4980544747081712,0.40077821011673154,0.06614785992217899,0,0.0,257,0.00011484244254895856,0.00028516432594282457,5.075525755696137e-05,9.400625202810632e-05,0.013044101192139073,4.359720497594257e-08,3.5650623523509403e-06,0.0,0.0,0.003891050583657574,0.003891050583657577,0.0,0.0,40,0.17391304347826086,4.806595597053097
@10stars-config-13.6.0,unknown,-1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
@11thdeg-cyan-lit-4.0.0-beta.20,unknown,-1,3,"DT-014,IG-013,PE-010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,203,0.02337363270005757,3,0.009852216748768473,0.034482758620689655,0.0,0.9556650246305419,0.0,0,0.0,203,0.00022690503797255783,0.0003454629203132197,7.852891672548058e-05,0.00015896557335701286,0.015941370095272557,3.40435953263561e-08,1.1518083085417148e-06,0.0,0.0,0.004926108374384231,0.004926108374384232,0.0,0.0,91,0.06349206349206349,6.096735750988352
@1delta-providers-0.0.25,unknown,-1,2,"DE-005,DT-004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.028,1,0.0,1.0,0.0,0.0,0.0,0,0.0,7,0.004016064257028113,0.004016064257028112,0.00448355935144626,0.004483559351446261,0.03138491546012382,0.0,0.0,0.0,0.0,0.14285714285714282,0.14285714285714282,0.0,0.0,1,0.21212121212121213,-0.0
@1delta-providers-0.0.26,unknown,-1,2,"DE-005,DT-004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.028,1,0.0,1.0,0.0,0.0,0.0,0,0.0,7,0.004016064257028113,0.004016064257028112,0.00448355935144626,0.004483559351446261,0.03138491546012382,0.0,0.0,0.0,0.0,0.14285714285714282,0.14285714285714282,0.0,0.0,1,0.21212121212121213,-0.0
@1hook-all-0.2.5,unknown,-1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
@1hook-use-actions-0.2.5,unknown,-1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
@1hook-use-audio-analyser-0.2.5,unknown,-1,1,DT-002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.024390243902439025,1,0.0,1.0,0.0,0.0,0.0,0,0.0,2,0.024691358024691357,0.024691358024691357,0.0080444486677251,0.0080444486677251,0.0160888973354502,0.0007716049382716049,0.0007716049382716049,0.0,0.0,0.5,0.5,0.0,0.0,1,0.08695652173913043,-0.0
@1hook-use-cookie-0.2.5,unknown,-1,2,"DE-001,IG-013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.024390243902439025,2,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0,0.0,3,0.019125683060109294,0.02459016393442623,0.009064911598727797,0.014881073262190396,0.027194734796183388,0.0005554802872239534,0.0013331526893374881,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,2,0.2,0.9182958340544896
