package_name,data_type,label,hit_rules_count,hit_rules,rule_IG-001,rule_IG-002,rule_IG-003,rule_IG-004,rule_IG-005,rule_IG-006,rule_IG-007,rule_IG-008,rule_IG-009,rule_IG-010,rule_IG-011,rule_DT-001,rule_DT-002,rule_DT-003,rule_DT-004,rule_DT-006,rule_DT-007,rule_DT-008,rule_DT-009,rule_DT-010,rule_DT-011,rule_DT-012,rule_DT-013,rule_IG-013,rule_IG-014,rule_DT-014,rule_DT-016,rule_DT-017,rule_DT-018,rule_DT-020,rule_DT-030,rule_DT-032,rule_IG-012,rule_DE-001,rule_DE-002,rule_DE-003,rule_DE-004,rule_DE-005,rule_DE-006,rule_DE-007,rule_PE-001,rule_PE-002,rule_PE-003,rule_PE-004,rule_PE-005,rule_PE-006,rule_PE-007,rule_PE-008,rule_PE-009,rule_PE-010,rule_PE-011,rule_PE-012,rule_PE-013,rule_PE-014,rule_PE-015,rule_PE-016,rule_SP-001,rule_SP-002,rule_SP-003,rule_SP-004,malicious_node_count,malicious_ratio,category_diversity,IG_ratio,DT_ratio,DE_ratio,PE_ratio,SP_ratio,malicious_internal_edges,malicious_density,malicious_components,mean_degree_centrality_full,max_degree_centrality_full,mean_malicious_pagerank,max_malicious_pagerank,sum_malicious_pagerank,mean_malicious_betweenness,max_malicious_betweenness,mean_degree_centrality_sub,max_degree_centrality_sub,mean_pagerank_sub,max_pagerank_sub,mean_betweenness_sub,max_betweenness_sub,num_malicious_communities,max_community_maliciousness_ratio,malicious_community_entropy
2x10-webscraper-1.4.2,unknown,-1,3,"DE-001,DT-001,DT-004",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.012145748987854251,2,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0,0.0,3,0.008130081300813009,0.016260162601626018,0.005310969301746265,0.007502571349826398,0.015932907905238793,4.098224655715944e-05,0.00012294673967147833,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,3,0.25,1.584962500721156
@quidgest-chatbot-0.5.7,unknown,-1,4,"DE-001,DT-004,IG-001,PE-010",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0.0016085251834724037,4,0.25,0.375,0.125,0.25,0.0,2,0.008333333333333333,14,0.0005278503921174341,0.0031168308867886587,0.00011889976385247353,0.00014304020820755548,0.0019023962216395765,0.0,0.0,0.016666666666666666,0.06666666666666667,0.06250000000000001,0.10451441888809207,0.0,0.0,10,0.021052631578947368,3.25
@quotientjs-react-0.9.0,unknown,-1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
@qyu-atom-state-core-3.0.0,unknown,-1,2,"DT-002,IG-007",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.003787878787878788,2,0.25,0.75,0.0,0.0,0.0,0,0.0,4,0.001184834123222749,0.0018957345971563982,0.0007423797321503704,0.0010046513238810878,0.0029695189286014817,2.374164770632301e-06,9.496659082529205e-06,0.0,0.0,0.25,0.25,0.0,0.0,3,0.1,1.5
@qyu-atom-state-core-3.0.1,unknown,-1,2,"DT-002,IG-007",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.003787878787878788,2,0.25,0.75,0.0,0.0,0.0,0,0.0,4,0.001184834123222749,0.0018957345971563982,0.0007423797321503704,0.0010046513238810878,0.0029695189286014817,2.374164770632301e-06,9.496659082529205e-06,0.0,0.0,0.25,0.25,0.0,0.0,3,0.1,1.5
@qyu-atom-state-core-3.0.2,unknown,-1,2,"DT-002,IG-007",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.003787878787878788,2,0.25,0.75,0.0,0.0,0.0,0,0.0,4,0.001184834123222749,0.0018957345971563982,0.0007423797321503704,0.0010046513238810878,0.0029695189286014817,2.374164770632301e-06,9.496659082529205e-06,0.0,0.0,0.25,0.25,0.0,0.0,3,0.1,1.5
@r3rd-controls-0.0.4,unknown,-1,1,DT-003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0030165912518853697,1,0.0,1.0,0.0,0.0,0.0,0,0.0,2,0.0030211480362537764,0.0030211480362537764,0.0018981228889758956,0.0018981228889758956,0.0037962457779517913,7.575722950212759e-06,1.5151445900425518e-05,0.0,0.0,0.5,0.5,0.0,0.0,2,0.047619047619047616,1.0
@r3rd-core-0.0.3,unknown,-1,1,DT-003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.007686395080707148,1,0.0,1.0,0.0,0.0,0.0,0,0.0,10,0.0015384615384615387,0.0015384615384615385,0.0009453271437089301,0.0014156365964387817,0.009453271437089301,3.081660448865992e-06,7.70415112216498e-06,0.0,0.0,0.09999999999999999,0.09999999999999999,0.0,0.0,4,0.11428571428571428,1.7219280948873623
@r3rd-physics-0.0.3,unknown,-1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
@r3rd-sdk-0.0.3,unknown,-1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
